"","source","target","mor"
"4802","REL","IER3",1
"4803","MYC","IER3",-1
"4804","NFKB1","IER3",1
"4805","RELA","IER3",1
"4806","NFKB1","CDX2",1
"4807","RELA","CDX2",-1
"4808","PGR","NFKBIA",1
"4809","CREB1","TNFSF11",1
"4810","SP1","TAF7",1
"4811","HNF1A","SLC17A1",1
"4812","ZNF160","GPT",1
"4813","ZNF160","LCT",1
"4814","E2F2","TERT",-1
"4815","E2F3","TERT",-1
"4816","E2F4","TERT",-1
"4817","E2F5","TERT",-1
"4818","MAFA","INS",1
"4819","ARNT","CYP1A1",1
"4820","FOXA2","PTH",1
"4821","GATA1","PTH",1
"4822","NR3C1","PTH",1
"4823","NFE2L2","KEAP1",1
"4824","HIF1A","NT5E",1
"4825","ZNF410","MMP1",1
"4826","CREB1","NOCT",1
"4827","ZNF8","TGFB1",-1
"4828","TP53","FDXR",1
"4829","TP63","FDXR",1
"4830","TP73","FDXR",1
"4831","JUN","SPARC",1
"4832","ESR1","GRIN2D",1
"4833","ESR2","GRIN2D",1
"4834","STAT4","PRF1",1
"4835","ESR1","G6PC1",1
"4836","ELF1","SOD3",1
"4837","CUX1","CD40",1
"4838","NFKB2","CD40",1
"4839","SSRP1","CDKN1A",1
"4840","SSRP1","MDM2",1
"4841","SSRP1","MRPL41",1
"4842","SSRP1","TP63",1
"4843","TP63","MRPL41",1
"4844","TP53","MUC2",1
"4845","JUN","NPM1",1
"4846","NFATC2","CD3E",1
"4847","ESRRA","NR1D1",1
"4848","USF1","TFF1",1
"4849","USF1","TFF2",1
"4850","MYC","TFF2",1
"4851","SP3","ADIPOQ",1
"4852","SP1","ADIPOQ",1
"4853","SP2","CDKN1A",1
"4854","ONECUT1","AFP",1
"4855","HIF1A","F2",1
"4856","NKRF","ABCC8",1
"4857","NKRF","NOS2",1
"4858","RERE","CD34",1
"4859","TEAD1","ANKRD1",1
"4860","ZBED1","MYB",1
"4861","DLX4","MIA",1
"4862","ZBTB17","CDKN1A",-1
"4863","MYC","BBC3",1
"4864","JUN","COL1A2",1
"4865","JUN","HP",1
"4866","GATA2","TSHB",1
"4867","HNF1A","GSTA1",-1
"4868","TP53","RPSA",1
"4869","ELF4","PRF1",1
"4870","ETS1","PRF1",1
"4871","PAX5","BLNK",1
"4872","STAT1","CCL2",1
"4873","TEAD4","S100B",1
"4874","FOXA2","SAMHD1",1
"4875","YY1","MUC1",1
"4876","JUN","SERPINE1",1
"4877","NR3C1","HSD11B1",1
"4878","AR","RPL3",1
"4879","POU2F1","CCND1",1
"4880","RUNX2","CDKN1A",-1
"4881","ATF1","CD44",1
"4882","ATF1","CIITA",1
"4883","ATF1","HLA-E",1
"4884","NCOR1","RARB",1
"4885","TP53","INS",1
"4886","JUN","PRKG1",1
"4887","CEBPB","CHAT",1
"4888","MYB","CHAT",1
"4889","STAT3","BIRC5",1
"4890","PPARA","CRP",-1
"4891","HIF1A","ABL1",1
"4892","HIF1A","BCR",1
"4893","ZNF148","ITGAM",-1
"4894","ZBTB22","AMY2A",1
"4895","GCM1","ERVW-1",1
"4896","KAT6B","MYBL2",1
"4897","MAF","MORF4L1",1
"4898","SSRP1","MYBL2",1
"4899","BMAL1","BHLHE40",1
"4900","BHLHE40","BMAL1",1
"4901","BHLHE40","CLOCK",1
"4902","CLOCK","BHLHE40",1
"4903","BHLHE40","PER1",1
"4904","BMAL1","BHLHE41",1
"4905","BHLHE41","BMAL1",1
"4906","CLOCK","BHLHE41",1
"4907","BHLHE41","CLOCK",1
"4908","BHLHE41","PER1",1
"4909","AR","PECR",1
"4910","ESR1","PECR",1
"4911","SOX9","COL9A1",1
"4912","NR1H4","NELFE",1
"4913","BCL6","SIRT1",1
"4914","TP53","BID",1
"4915","TP53","PTTG1",-1
"4916","SP1","PTTG1",1
"4917","STAT1","CXCL9",1
"4918","STAT1","TNF",1
"4919","STAT1","CREBBP",1
"4920","NR2F1","CAMK4",1
"4921","CDX2","CDH17",1
"4922","EGR1","RET",1
"4923","SSRP1","BCL2",1
"4924","KLF6","KRT12",1
"4925","ELF3","TIMP3",1
"4926","REL","SELE",1
"4927","MEF2C","NPPA",1
"4928","CEBPG","SAA1",1
"4929","SMAD2","NOS3",1
"4930","RFX1","MAP1A",-1
"4931","E2F2","CDC6",1
"4932","E2F3","CDC6",1
"4933","YY1","CDC6",1
"4934","E2F1","CDC6",1
"4935","HIF1A","NPPA",1
"4936","SSRP1","NPPA",1
"4937","ATF3","PFDN4",1
"4938","ATF3","RBBP7",1
"4939","BCL6","PFDN4",1
"4940","BCL6","RBBP7",1
"4941","BCL6","ARID1B",1
"4942","KAT7","CCNE1",1
"4943","ATF1","JUN",1
"4944","ELF3","CCL20",1
"4945","SP1","CCL20",1
"4946","FOXO1","SLC2A4",1
"4947","PAX3","SLC2A4",1
"4948","REL","BIRC3",1
"4949","REL","C4B",1
"4950","TCF3","RAG2",1
"4951","REST","PRLHR",-1
"4952","IRF1","IL12B",-1
"4953","DNMT1","MT1A",1
"4954","DNMT3A","MT1A",1
"4955","MYC","MXD4",1
"4956","ZBTB17","MXD4",1
"4957","SP3","ERVK-6",1
"4958","SP3","SUMO1",1
"4959","IRF1","CDKN1A",1
"4960","SP1","MAP3K5",1
"4961","HES1","DBF4",1
"4962","SP1","DBF4",1
"4963","MYC","PRKACA",1
"4964","EGR1","CAMK2A",1
"4965","EGR1","DRD2",1
"4966","EGR1","MAP3K1",1
"4967","SP1","TCL1A",1
"4968","SP1","ALG3",1
"4969","MAF","IL12A",1
"4970","MAF","IL12B",1
"4971","NFKB1","IL1RN",1
"4972","NFKB1","LEP",1
"4973","RELA","IL1RN",1
"4974","RELA","LEP",1
"4975","SPI1","IL1RN",1
"4976","MYB","COL1A2",1
"4977","MAZ","GRIN1",1
"4978","SSRP1","GRIN1",1
"4979","ZNF354C","SLC2A4",1
"4980","KLF2","PPARG",-1
"4981","NFYA","CBS",1
"4982","THRB","TSHR",1
"4983","SP3","ESR1",1
"4984","NR3C1","HSD3B2",1
"4985","SMAD4","CDKN2B",1
"4986","IRF8","NOS2",1
"4987","ARHGAP35","RHOA",1
"4988","FOXN1","TP53",1
"4989","POU4F1","TP53",1
"4990","MTA1","MMP9",1
"4991","EWSR1","BCL2L1",1
"4992","FLI1","BCL2L1",1
"4993","FOS","CSF2",1
"4994","FOS","IFNG",1
"4995","SPI1","GATA2",-1
"4996","GATA2","SPI1",1
"4997","KLF6","ENG",1
"4998","EGR1","ENG",1
"4999","FOS","ALAS2",1
"5000","JUN","ALAS2",1
"5001","JUND","ALAS2",1
"5002","GLI3","FGF8",-1
"5003","GLI3","SHH",-1
"5004","NFE2L2","FTMT",1
"5005","SSRP1","HBEGF",1
"5006","SSRP1","PDX1",1
"5007","ZGLP1","PDX1",1
"5008","ZGLP1","TNF",1
"5009","CUX1","CDKN1A",-1
"5010","E2F1","MYCN",1
"5011","E2F2","MYCN",1
"5012","E2F3","MYCN",1
"5013","TP53","VCAN",1
"5014","ETS1","TFRC",-1
"5015","TP73","APP",1
"5016","CEBPG","TUBA1A",1
"5017","STAT1","KLF4",1
"5018","FOXM1","VTN",1
"5019","EHF","MMP1",-1
"5020","TP53","INSR",-1
"5021","WT1","RB1",1
"5022","MITF","SNAI2",1
"5023","NFKB1","CR2",1
"5024","ETS2","PSEN1",1
"5025","TGFB1I1","FOS",1
"5026","NR5A2","SCARB1",1
"5027","FOS","PGR",1
"5028","PGR","FOS",-1
"5029","JUN","PGR",-1
"5030","AR","ENO2",1
"5031","POU2F1","GNRHR",-1
"5032","SP1","EREG",1
"5033","SP3","EREG",1
"5034","YBX1","COL1A2",-1
"5035","YBX1","IFNG",1
"5036","LEF1","CDX1",1
"5037","TCF7L2","CDX1",1
"5038","E2F4","STMN1",1
"5039","MYC","TIAM1",1
"5040","ID1","CD79A",1
"5041","CEBPA","JUN",-1
"5042","DDIT3","PDIA3",1
"5043","HNF1A","FGFR4",1
"5044","MYC","ID2",1
"5045","ID2","MYC",-1
"5046","TP53","SFN",1
"5047","NR4A2","EEF1A2",1
"5048","NFATC2","CDK4",-1
"5049","KMT2A","RRP8",1
"5050","MAFG","HMOX1",1
"5051","NFKB1","AVP",1
"5052","RELA","AVP",1
"5053","USF1","AVP",1
"5054","NR1H3","APOC2",1
"5055","NR1H4","APOE",1
"5056","JUN","SLC10A2",1
"5057","NR0B2","SLC10A2",-1
"5058","NR5A2","SLC10A2",1
"5059","FOXO1","IL6",1
"5060","PPARG","CAT",1
"5061","EGR1","CHGA",1
"5062","SP1","CHGA",1
"5063","NR5A1","NOS1",1
"5064","NR0B1","NOS1",1
"5065","EWSR1","CREBBP",1
"5066","CEBPB","GNLY",1
"5067","SP1","RPS3A",1
"5068","AR","TXN",1
"5069","RUNX1","CD4",-1
"5070","HIF1A","NAA10",1
"5071","EPAS1","KDR",1
"5072","ETS1","KDR",1
"5073","SP3","SLC9A3",1
"5074","GATA5","SLC9A3",1
"5075","IRF1","GAST",1
"5076","NCOR1","RB1",1
"5077","HNF4A","AR",1
"5078","VSX2","AR",1
"5079","SP1","TBXA2R",1
"5080","SPI1","TBXA2R",1
"5081","TSC22D1","CDKN1A",1
"5082","E2F2","PCNA",-1
"5083","E2F1","PCNA",1
"5084","NFKB1","EGFR",1
"5085","NFKB2","EGFR",1
"5086","NFKB1","TNFRSF11A",1
"5087","NRG1","VEGFC",1
"5088","ETV4","CCL2",1
"5089","SP3","MET",1
"5090","TP53","KISS1",1
"5091","SP1","SLC5A5",1
"5092","TFAP2A","SLC5A5",1
"5093","SOX17","NFKBIB",1
"5094","SOX5","NFKBIB",1
"5095","SRY","NFKBIB",1
"5096","ETS1","CSF2",1
"5097","NCOA2","CASP8AP2",1
"5098","TCF3","PAX5",1
"5099","CEBPG","LRPAP1",1
"5100","CEBPA","LRPAP1",1
"5101","CEBPB","CST8",1
"5102","NR1H3","FABP6",1
"5103","SREBF1","FABP6",1
"5104","SSRP1","FABP6",1
"5105","HIF1A","TNF",1
"5106","IRF1","IL4",1
"5107","IRF2","IL4",1
"5108","HIF1A","EPAS1",1
"5109","EPAS1","HIF1A",1
"5110","SP1","HGF",1
"5111","STAT1","GAST",1
"5112","AR","FASLG",1
"5113","YY1","DEK",1
"5114","BCL3","MMP1",1
"5115","NFKB1","MMP1",1
"5116","MYOD1","BARX2",1
"5117","BARX2","MYOD1",1
"5118","MYOG","BARX2",1
"5119","SRF","BARX2",1
"5120","FOXO1","PDX1",-1
"5121","SOX2","FGF4",-1
"5122","POU5F1","FGF4",1
"5123","HES1","IL1B",1
"5124","HES1","PTGDS",-1
"5125","RUNX2","DSPP",1
"5126","FOS","DMP1",1
"5127","JUN","DMP1",1
"5128","NEUROG3","PLP1",1
"5129","PAX1","NKX3-2",1
"5130","PAX9","NKX3-2",1
"5131","TBX5","FGF10",1
"5132","LITAF","FGF10",1
"5133","SP1","SYP",1
"5134","IRF2","TRIM63",1
"5135","HOXA10","IGFBP1",1
"5136","TCF21","CDKN1A",-1
"5137","TCF21","CKM",1
"5138","TCF3","CKM",1
"5139","HIC1","RASSF1",1
"5140","NR1I2","SRL",1
"5141","ZNF699","SRL",1
"5142","ESR1","CBFB",1
"5143","ESR1","MYH11",1
"5144","MYC","CBFB",1
"5145","MYC","MYH11",1
"5146","TAF1","POLI",1
"5147","ID1","THBS1",-1
"5148","KAT7","YWHAQ",1
"5149","TP53","YWHAQ",1
"5150","ZGPAT","YBEY",1
"5151","CEBPA","CDKN1A",1
"5152","TP53","MGMT",-1
"5153","NR1I2","TNFRSF25",1
"5154","DNMT1","RETN",1
"5155","PPARG","RETN",-1
"5156","NR4A1","SERPINE1",1
"5157","NR4A1","TNF",-1
"5158","ZEB2","CDH1",-1
"5159","CEBPB","HPGDS",1
"5160","CEBPG","GSTA2",1
"5161","CEBPB","GSTA2",1
"5162","CEBPG","PI3",1
"5163","STAT1","MED23",1
"5164","GATA6","VWF",1
"5165","ESR1","BMP2",1
"5166","ESR2","BMP2",1
"5167","THRA","E2F1",1
"5168","SP1","PAX3",1
"5169","PAX3","SP1",1
"5170","TP53","PDP1",1
"5171","TP53","PPM1A",1
"5172","CREBZF","FPR2",1
"5173","HNF4A","CYP3A4",1
"5174","FOS","INS",1
"5175","IRF1","IL12A",1
"5176","NR1H3","ANGPTL3",1
"5177","CDX2","ACAT2",1
"5178","NR1H4","NISCH",1
"5179","SP3","SLC19A1",1
"5180","ATF2","CYP19A1",1
"5181","CEBPA","LTF",1
"5182","ZNF335","COPS2",1
"5183","ZNF335","CSN2",1
"5184","PAX3","LBX1",1
"5185","CEBPG","LEP",1
"5186","SMAD3","LEP",1
"5187","SMAD3","PPARG",1
"5188","FOS","TIMP1",1
"5189","JUN","TIMP1",1
"5190","CEBPA","UCP1",1
"5191","NR0B2","FABP6",1
"5192","JUN","ABCC3",1
"5193","JUN","SLC2A2",1
"5194","CEBPG","ABCC3",1
"5195","CEBPG","SLC2A2",1
"5196","ETV4","ZHX1",1
"5197","YY1","ZHX1",1
"5198","PAX3","HAND1",1
"5199","TFAP2A","CD82",1
"5200","USF1","HSF2",1
"5201","MTA1","ESR1",-1
"5202","E2F1","ATM",1
"5203","EWSR1","ID2",1
"5204","ID2","CCND1",1
"5205","ATF1","EWSR1",1
"5206","EWSR1","ATF1",1
"5207","ATF1","SH3RF1",-1
"5208","EWSR1","SH3RF1",1
"5209","CEBPG","IL12B",1
"5210","MAZ","MMP1",1
"5211","MYB","EGF",1
"5212","MYB","ATP9B",1
"5213","SP1","CYP2E1",1
"5214","RUNX2","TAFAZZIN",1
"5215","SSRP1","TAFAZZIN",1
"5216","PGR","PAEP",1
"5217","STAT5A","VIM",1
"5218","NR1I2","HBB",1
"5219","NR1I2","IFNB1",1
"5220","AR","CYP11A1",1
"5221","CREB1","STAR",1
"5222","NONO","CYP17A1",1
"5223","SFPQ","CYP17A1",1
"5224","GATA6","INHA",1
"5225","CREM","PRKACA",1
"5226","NRF1","CYCS",1
"5227","ERF","JUN",1
"5228","CEBPZ","CDKN1A",1
"5229","CEBPZ","TP73",1
"5230","CEBPB","NCAM1",1
"5231","PAX6","CNTN2",1
"5232","PAX6","NCAM1",1
"5233","IRF1","PTGS2",1
"5234","SP1","CAT",1
"5235","SP1","MMP1",1
"5236","NR3C1","CYP3A5",1
"5237","AR","FOLH1",1
"5238","NEUROD1","GCK",1
"5239","NEUROD1","GK",1
"5240","CEBPG","CYP3A4",1
"5241","CEBPA","CYP3A4",1
"5242","HIF1A","CREBBP",1
"5243","MBD2","CP",1
"5244","MBD2","DPEP1",1
"5245","DNMT1","GSTP1",1
"5246","MYC","PIAS2",1
"5247","IRF1","TERT",-1
"5248","HNF1A","SLC10A1",1
"5249","STAT5A","SLC10A1",1
"5250","AHR","PTGS2",1
"5251","USF1","TP53",1
"5252","NR1H3","REN",1
"5253","PPARG","LRP1",1
"5254","RXRA","LRP1",1
"5255","MAX","SERPINE1",-1
"5256","TFEB","SERPINE1",1
"5257","LEF1","BGLAP",-1
"5258","MYOD1","CTSB",1
"5259","YBX1","PTPN1",1
"5260","ERG","COL11A2",1
"5261","EWSR1","COL11A2",1
"5262","NR1H4","PPARA",1
"5263","PITX2","FSHB",1
"5264","PITX2","INHBA",1
"5265","SMAD3","FSHB",1
"5266","SMAD4","FSHB",1
"5267","CREB1","NPC1",1
"5268","SSRP1","IGF2",1
"5269","SP3","PGR",1
"5270","SP3","LHB",1
"5271","FLI1","HBB",-1
"5272","FLI1","KLF1",1
"5273","KLF1","FLI1",1
"5274","KLF1","GP9",1
"5275","RELA","CALM1",1
"5276","STAT3","FAAH",1
"5277","EWSR1","TNC",1
"5278","SIX1","PTH2R",1
"5279","CDX2","MUC2",1
"5280","CDX1","MUC2",1
"5281","OTX2","DCT",1
"5282","AHR","CDH13",-1
"5283","RUNX1","CCL3",1
"5284","CEBPA","CCL3",1
"5285","SP1","PROCR",1
"5286","EWSR1","CDKN1A",-1
"5287","FLI1","CDKN1A",1
"5288","EGR1","IL2",1
"5289","NFATC1","IL2",1
"5290","EGR1","ABCA2",1
"5291","SP1","ABCA2",1
"5292","SP3","ABCA2",1
"5293","SP4","ABCA2",1
"5294","NEUROD6","GAP43",1
"5295","NEUROD1","GAP43",1
"5296","NEUROD6","ME1",1
"5297","MAX","ODC1",1
"5298","MXD1","ODC1",1
"5299","HNF1A","TYR",1
"5300","FOXN1","GLB1",1
"5301","CRX","KNTC1",1
"5302","NRL","PDE6B",1
"5303","FIZ1","RHO",1
"5304","E2F2","ECE1",1
"5305","YBX3","CDK4",1
"5306","GATA1","HBG1",-1
"5307","EGR1","MET",-1
"5308","TAF1","CCND1",1
"5309","APEX1","REN",1
"5310","NRG1","EGFR",1
"5311","IRX4","SLIT1",1
"5312","FOS","MYC",1
"5313","MYC","FOS",1
"5314","NR0B2","CCND1",-1
"5315","NR0B2","FOS",1
"5316","YY1","CCR5",-1
"5317","EGR1","TIMP1",1
"5318","ZNF362","TIMP1",1
"5319","PPARA","TGFB1",-1
"5320","ID1","STAT5A",1
"5321","STAT5A","ID1",1
"5322","CEBPB","IL3",1
"5323","HR","IL3",1
"5324","MEF2A","MAPK7",1
"5325","STAT6","RETN",1
"5326","STAT6","RETNLB",1
"5327","CEBPG","RETNLB",1
"5328","RELA","CD86",1
"5329","KLF5","B3GNT9",1
"5330","SP1","IFNG",1
"5331","SP1","IL12A",1
"5332","SP1","NRP1",1
"5333","MEF2A","PPARGC1A",1
"5334","ESR2","TGFB3",1
"5335","CARF","CDKN2AIP",1
"5336","GTF2I","HBB",1
"5337","USF2","HBB",1
"5338","SP3","PCYT1A",1
"5339","YY1","IFNB1",-1
"5340","FOXO1","LPL",1
"5341","TLX1","ALDH1A1",-1
"5342","TFAP2A","CITED2",1
"5343","STAT5B","CCND2",1
"5344","STAT5B","PPARG",-1
"5345","MBD2","GPN1",1
"5346","SPI1","RB1",1
"5347","KLF13","NOS2",1
"5348","KLF6","NOS2",1
"5349","STAT3","NPY",1
"5350","NFIX","REN",1
"5351","HNF4A","MYC",1
"5352","TP53","BRCA2",-1
"5353","AR","ERCC3",1
"5354","HNF4A","FGL2",1
"5355","BCL6","GATA3",-1
"5356","BCL6","IL6",-1
"5357","TFAP2A","DEK",1
"5358","CEBPA","C7",1
"5359","PITX1","MCAT",1
"5360","TFAP2A","MYH11",1
"5361","NR0B2","HNF1A",-1
"5362","CREB1","CD86",1
"5363","ESR1","CCL5",1
"5364","RELA","CCL5",1
"5365","IRF3","ISG15",1
"5366","IRF7","ISG15",1
"5367","MNT","GLMN",1
"5368","MXI1","GLMN",1
"5369","NR5A1","TES",1
"5370","FOXO1","PPARGC1A",1
"5371","HIF1A","MDM2",1
"5372","TP53","THBS1",1
"5373","WT1","POU4F2",1
"5374","POU4F2","WT1",1
"5375","MEIS1","PF4",1
"5376","ETS1","PF4",1
"5377","GATA1","PF4",1
"5378","TP53","APOE",1
"5379","KAT7","CDKN1A",1
"5380","HOXB2","MRGPRF",1
"5381","JUN","MRGPRF",1
"5382","ZGPAT","MRGPRF",1
"5383","E2F1","CCND3",1
"5384","SSRP1","IGF1",1
"5385","SSRP1","PIK3R1",1
"5386","SSRP1","VEGFA",1
"5387","TBP","HMOX1",1
"5388","NR1H2","PLTP",1
"5389","ETS1","NRP1",1
"5390","USF2","NR2F2",1
"5391","USF2","PITX2",1
"5392","MNT","RSPH1",1
"5393","RARB","RSPH1",1
"5394","TTF1","LGALS3",1
"5395","POU5F1","UTF1",1
"5396","NR2C1","NR2C2",1
"5397","SP3","CA9",1
"5398","KDM5D","BTK",1
"5399","KDM5D","COP1",1
"5400","GABPA","PRL",1
"5401","FOSB","FASLG",1
"5402","JUN","FASLG",1
"5403","CUX1","CDK2",1
"5404","NR2F1","SLC9A1",1
"5405","TFAP2A","SLC9A1",1
"5406","GATA1","AMY1A",1
"5407","SP1","AMY1A",1
"5408","TBX6","DLL1",1
"5409","AR","APPL1",1
"5410","FOXD2","PRKAR1A",1
"5411","KLF3","HBE1",1
"5412","SMAD4","THBS1",1
"5413","SMAD4","VEGFA",-1
"5414","SPI1","GNAI2",1
"5415","POU2F3","SPRR2A",1
"5416","BHLHE40","BHLHE41",-1
"5417","BHLHE41","BHLHE40",-1
"5418","NFATC3","CD40LG",-1
"5419","PRDM1","ZFP1",1
"5420","JUN","IFNG",1
"5421","SP1","HMGCS2",1
"5422","MYB","TRHR",1
"5423","ETS2","PTHLH",1
"5424","STAT3","NDUFA13",1
"5425","E2F1","CDK1",1
"5426","NCOA1","ESR1",1
"5427","ESR1","NCOA2",1
"5428","NCOA2","ESR1",1
"5429","NR1I3","EDN1",1
"5430","TP53","IGF1",-1
"5431","MXD1","APOC3",1
"5432","SNAI1","MMP2",1
"5433","SNAI1","VIM",1
"5434","SNAI1","STIM1",1
"5435","NR3C1","BCL2L1",1
"5436","MYC","NBN",1
"5437","ETS2","BRCA1",-1
"5438","EGR1","COL2A1",-1
"5439","SP3","IL1B",1
"5440","WT1","IL1B",1
"5441","SP1","PON1",1
"5442","MTA1","BLOC1S1",1
"5443","HMGA1","BRCA1",-1
"5444","TP63","SFN",1
"5445","FOXA2","MAP1B",1
"5446","FOXA2","CFH",1
"5447","ZIC1","ATOH1",-1
"5448","TFAP2A","CFC1",1
"5449","ETS1","PCYT1A",1
"5450","TEAD2","PCYT1A",1
"5451","TP73","CCNG1",1
"5452","MYOD1","ACACB",1
"5453","RARA","ACACB",-1
"5454","SOX10","PRB4",1
"5455","NR3C1","GNRHR",1
"5456","POU3F2","AVP",1
"5457","POU3F2","CRH",1
"5458","MYC","GJA1",1
"5459","NR3C1","CPB2",1
"5460","STAT1","S100A10",1
"5461","MYBL2","ZNF622",1
"5462","RARA","GHRHR",1
"5463","GATA1","YBX1",1
"5464","GATA2","YBX1",1
"5465","ETS2","CSF2",1
"5466","ESR2","PSMD4",1
"5467","AR","GTF2F1",1
"5468","STAT5A","DPAGT1",1
"5469","MYC","SPP1",1
"5470","POU2F1","SPP1",1
"5471","PGR","H1-2",1
"5472","TFAP2A","PTHLH",1
"5473","TTF1","HHEX",1
"5474","ESR1","PTPN6",1
"5475","SP3","PARP1",1
"5476","BHLHE41","MYOD1",1
"5477","BHLHE41","CENPX",1
"5478","SP1","CENPX",1
"5479","NFE2L2","GCLM",1
"5480","CREB1","PCNA",1
"5481","ETS2","CREBBP",1
"5482","GATA1","ESR1",1
"5483","SOX17","ESR1",1
"5484","SRY","ESR1",1
"5485","ESR1","CCN5",1
"5486","POU2F3","RHOH",1
"5487","POU2F3","MX1",1
"5488","ESR1","KCNN3",1
"5489","SP1","KCNN3",1
"5490","NR0B1","DR1",1
"5491","NR1H4","DR1",1
"5492","NR0B1","NR1H4",-1
"5493","NR1H4","NR0B1",1
"5494","NFE2L2","TXN",1
"5495","TFCP2","HBB",1
"5496","HOXA1","ABI3",1
"5497","ZBED1","H1-2",1
"5498","MEF2A","BMP2",1
"5499","SPI1","PIK3C3",1
"5500","MEF2A","HLA-E",1
"5501","OTX2","TYR",1
"5502","OTX2","TYRP1",1
"5503","TBPL1","TYR",1
"5504","USF1","CD40",1
"5505","USF1","TNFSF11",1
"5506","USF2","CD40",1
"5507","USF2","TNFSF11",1
"5508","POU5F1","FBXO15",1
"5509","CEBPB","INSR",1
"5510","SP1","INSR",1
"5511","SP1","HMGA1",1
"5512","HMGA1","SP1",1
"5513","CEBPB","BCL2A1",1
"5514","JUN","GTF2B",1
"5515","MBD1","CCL2",1
"5516","CREB1","RB1",1
"5517","CUX1","ERVK-11",1
"5518","RELA","CRP",1
"5519","FOS","CCL2",1
"5520","THRA","RB1",1
"5521","EMX2","WNT1",1
"5522","POU1F1","KRAS",1
"5523","TP53","NME1",1
"5524","TFAP2D","OPRM1",1
"5525","PAX3","OPRM1",1
"5526","EGR1","CD44",1
"5527","CEBPG","FGFBP1",1
"5528","NR2C2","HGF",1
"5529","NONO","KLK3",1
"5530","SMAD3","IL6",-1
"5531","SMAD7","IL6",1
"5532","MYB","GATA1",1
"5533","GATA1","MYB",1
"5534","TP53","KLF6",1
"5535","KLF6","TP53",1
"5536","TP53","E2F1",-1
"5537","E2F1","TP53",1
"5538","IRF4","CD68",-1
"5539","ELF1","CD68",1
"5540","SPI1","CD68",-1
"5541","IRF8","CD68",-1
"5542","PPARG","MCM7",-1
"5543","CUX1","CAV1",1
"5544","NKX3-1","BCL2",-1
"5545","WT1","SLC6A6",1
"5546","HES1","NUMB",1
"5547","EHF","SPRR1B",1
"5548","ELF3","SPRR1B",1
"5549","SP1","UGDH",1
"5550","TBPL1","DNTT",1
"5551","TBPL1","ACHE",1
"5552","TBPL1","CD44",1
"5553","SP1","WT1",1
"5554","WT1","SP1",1
"5555","ESR1","NOS2",-1
"5556","SP1","SCNN1A",1
"5557","SP3","SCNN1A",1
"5558","SP1","PPP1CC",1
"5559","SP3","PPP1CC",1
"5560","MXD1","INS",1
"5561","PDX1","MXD1",1
"5562","MXD1","PDX1",1
"5563","USF1","BDNF",1
"5564","MAZ","PTH",1
"5565","SSRP1","NOS3",1
"5566","MAZ","NOS3",-1
"5567","SP1","MAZ",1
"5568","MAZ","SP1",1
"5569","VSX2","GUSB",1
"5570","GATA4","GIP",1
"5571","ISL1","GIP",1
"5572","STAT6","TNFSF11",1
"5573","NR2F6","REN",-1
"5574","NFKB1","CXCR4",1
"5575","RELA","CXCR4",1
"5576","MEF2A","CDK5",1
"5577","BMAL1","CLOCK",1
"5578","CLOCK","BMAL1",-1
"5579","BMAL1","HIF1A",1
"5580","PITX2","NPPA",1
"5581","BCL11B","TAT",1
"5582","TP53","ARID3A",1
"5583","SP1","DNASE2",1
"5584","SP3","DNASE2",1
"5585","MYRF","MYOG",1
"5586","NR4A2","DBH",1
"5587","YBX1","CCNA2",1
"5588","YBX1","CCNB1",-1
"5589","SPI1","FCRL6",1
"5590","SPI1","OSCAR",1
"5591","MITF","OSCAR",1
"5592","PPARG","CXCL8",-1
"5593","FOXA3","CYP3A4",1
"5594","FOXM1","CYP3A4",1
"5595","USF1","NFYA",1
"5596","EPAS1","GAPDH",1
"5597","SP1","ST3GAL3",1
"5598","STAT5A","DLL1",1
"5599","STAT5A","EGF",1
"5600","NR0B1","ZNF461",1
"5601","NR5A1","FSHB",1
"5602","NR5A1","PRKACA",1
"5603","NR5A1","ZNF461",1
"5604","NR5A1","AKR1B1",1
"5605","NR5A1","CD86",1
"5606","NFYB","HLA-E",1
"5607","NFYB","RFX5",1
"5608","KAT7","BGLAP",1
"5609","HIF1A","RHO",1
"5610","NR1H3","G6PC1",-1
"5611","NR1H3","PCK1",1
"5612","NR1H3","SLC2A4",1
"5613","PITX2","CYP19A1",1
"5614","SP1","BGLAP",1
"5615","PITX1","CXCL2",1
"5616","ENO1","CXCL2",1
"5617","RBPJ","NFKBIA",1
"5618","SPDEF","SQSTM1",1
"5619","SMAD3","ACTG2",1
"5620","SMAD3","ACTA1",1
"5621","TP53","HIPK1",1
"5622","PPARG","BGLAP",-1
"5623","DDIT3","IL6",-1
"5624","SP1","FOLR3",1
"5625","SP1","ETS1",1
"5626","ETS1","SP1",1
"5627","JDP2","ACP5",1
"5628","JDP2","CD40",1
"5629","JDP2","CTSK",1
"5630","PPARG","FASLG",1
"5631","ELF3","MED23",1
"5632","ZNF384","IL4",1
"5633","NR1H4","APOA5",1
"5634","PPARA","APOA5",1
"5635","ESR1","VDR",1
"5636","VDR","ESR1",-1
"5637","DLX4","AXIN2",1
"5638","DLX4","WNT1",1
"5639","GRHL3","AXIN2",1
"5640","ISL1","GCG",1
"5641","ISL1","INS",1
"5642","ISL1","SST",1
"5643","MTF1","MT2A",1
"5644","MTF1","GADD45G",1
"5645","NFE2L2","GSR",1
"5646","NCOR1","CYP26A1",1
"5647","RARA","CYP26A1",1
